Job Field,Job Title,Job Description,Key Responsibilities,Required Skills & Qualifications
Wealth Management,Financial Advisor (Associate),"A junior, often salaried or trainee-level advisor who supports a senior advisory team by conducting research and assisting with financial plans.",• Assist in building financial models and plans for clients.<br>• Conduct investment research and portfolio analysis.<br>• Sit in on client meetings and handle follow-up tasks.,"• Bachelor's in Finance.<br>• Must pass SIE, Series 7, and Series 66.<br>• Strong analytical and Excel skills."
Wealth Management,Financial Advisor (Wealth Manager),"A licensed professional who builds a book of clients, providing holistic financial planning and investment management services.","• Prospect for and acquire new high-net-worth (HNW) clients.<br>• Create comprehensive financial plans (retirement, estate, insurance).<br>• Build and manage client investment portfolios.","• Bachelor's/MBA.<br>• CFP certification highly preferred.<br>• Strong sales, networking, and portfolio management skills."
Wealth Management,Private Banker,"Services the needs of ultra-high-net-worth (UHNW) clients, providing complex credit solutions (e.g., asset-backed loans) in addition to investments.","• Act as the single point of contact for UHNW clients.<br>• Provide customized credit and lending solutions.<br>• Coordinate with trust, investment, and estate planning specialists.",• Bachelor's/MBA.<br>• Series 7/66.<br>• Expertise in complex credit products and HNW client management.
Wealth Management,Portfolio Manager,"An investment specialist responsible for making the final buy/sell decisions for client portfolios, either on a discretionary basis or for a bank's model portfolio.",• Conduct macroeconomic and security-specific research.<br>• Construct and rebalance investment portfolios to match risk tolerance.<br>• Monitor market activity and execute trades.<br>• Communicate investment strategy to clients and advisors.,• Master's in Finance or MBA.<br>• CFA (Chartered Financial Analyst) designation is the standard.
Wealth Management,Trust Officer,"A fiduciary who administers trusts and estates according to the grantor's wishes, managing assets on behalf of beneficiaries.","• Ensure compliance with all legal terms of a trust document.<br>• Manage trust assets, investments, and real estate.<br>• Handle distributions to beneficiaries and all tax filings for the trust.<br>• Communicate regularly with beneficiaries and their legal counsel.",• Bachelor's degree; JD (law degree) or CTFA (Certified Trust and Fiduciary Advisor) cert is standard.
Wealth Management,Financial Planner,"A specialist who creates comprehensive, long-term financial plans for clients, often without directly managing the investments.","• Gather and analyze all client financial data (income, assets, insurance).<br>• Model scenarios for retirement, college savings, and estate planning.<br>• Prepare and present a formal financial plan with actionable recommendations.",• Bachelor's degree.<br>• CFP (Certified Financial Planner) certification is required.
Commercial Banking,Credit Analyst,"An analyst who supports Relationship Managers by performing the financial ""underwriting"" on loan requests from business clients.","• Analyze company financial statements (balance sheet, P&L, cash flow).<br>• Perform ratio analysis, sensitivity analysis, and cash flow modeling.<br>• Prepare a detailed credit memorandum (write-up) recommending approval or denial.",• Bachelor's in Accounting or Finance.<br>• Strong analytical and Excel skills; formal credit training.
Commercial Banking,Underwriter (Commercial),A risk-assessment professional (often a senior Credit Analyst) who has the authority to approve or deny a business loan application.,"• Perform final due diligence on loan applications.<br>• Assess all forms of risk (credit, collateral, market).<br>• Approve, deny, or restructure loan terms and covenants.<br>• Hold the final ""credit authority"" for the bank.",• Bachelor's in Finance/Accounting.<br>• 5+ years of credit analysis experience and delegated lending authority.
Commercial Banking,Relationship Manager (RM),The primary sales and client-facing role in commercial banking. Manages a portfolio of business clients and is responsible for lending and cross-selling all bank services.,"• Act as the primary advisor and contact for a portfolio of business clients.<br>• Originate new commercial loans (C&I loans, CRE loans).<br>• Cross-sell other bank products (e.g., Treasury Management, Wealth Management).<br>• Negotiate loan terms, pricing, and covenants.",• Bachelor's/MBA in Finance.<br>• Formal credit training and strong B2B sales skills.
Commercial Banking,Treasury Management Sales Officer,"A specialist who sells ""cash management"" products to business clients, helping them manage their operating cash flow.","• Sell products like ACH/wire services, remote deposit capture, and fraud protection (positive pay).<br>• Analyze a company's cash conversion cycle to propose solutions.<br>• Conduct product demos and manage implementation.",• Bachelor's in Business.<br>• CTP (Certified Treasury Professional) cert is a plus.<br>• Strong technical sales skills.
Commercial Banking,Treasury Management Analyst,An operations and analytical role that supports the Treasury Sales Officers by implementing products and analyzing client service usage.,• Implement new treasury management services for clients.<br>• Provide technical support and troubleshooting for cash management products.<br>• Analyze product pricing and client profitability.,"• Bachelor's in Finance.<br>• Technical aptitude, project management, and analytical skills."
Commercial Banking,Small Business Administration (SBA) Specialist,A lending expert who specializes in originating and processing loans that are backed by the Small Business Administration (SBA).,• Structure loans according to complex SBA guidelines.<br>• Collect and package all required SBA documentation.<br>• Work with underwriters to ensure full compliance with federal programs.,"• Bachelor's degree.<br>• Deep expertise in all SBA lending programs (e.g., 7(a), 504)."
Commercial Banking,Commercial Real Estate (CRE) Loan Officer,"A Relationship Manager who specializes exclusively in lending for commercial property (e.g., office buildings, apartments, retail centers).","• Originate loans for property acquisition, development, or construction.<br>• Analyze property cash flows (Net Operating Income), rent rolls, and appraisals.<br>• Manage a portfolio of CRE loans and developer relationships.",• Bachelor's in Finance or Real Estate.<br>• Expertise in property valuation and construction finance.
Commercial Banking,Portfolio Manager (Commercial Banking),"An internal, non-sales role that partners with Relationship Managers to manage the risk and administration of an existing loan portfolio.","• Monitor the financial health of existing borrowers.<br>• Ensure covenant compliance and collect required financial statements.<br>• Manage loan renewals, extensions, and modifications.<br>• Process loan advances and paydowns.",• Bachelor's in Finance/Accounting.<br>• Strong credit analysis and administrative skills.
Investment Banking,Investment Banking Analyst,"The entry-level ""grunt"" role. Responsible for building the financial models, doing research, and creating the pitch books used to win deals.","• Build complex financial models (DCF, LBO, merger models).<br>• Perform valuation analysis (comps, precedents).<br>• Create pitch books and presentations.<br>• Work 80-100+ hours per week.","• Bachelor's from a top university.<br>• Expert-level Excel, finance, and valuation skills; intense work ethic."
Investment Banking,Investment Banking Associate,A post-MBA role (or a direct promotion) that manages the Analysts and serves as the bridge between junior and senior bankers.,• Manage and review the analytical work of Analysts.<br>• Draft offering memorandums and management presentations.<br>• Begin to interact more with clients and coordinate deal processes.,• MBA from a top university or 3+ years as an Analyst.<br>• Strong project management and financial skills.
Investment Banking,Investment Banking VP (Vice President),A mid-level senior banker responsible for project management and client relationships. Manages the entire deal team and execution process.,"• Act as the primary project manager on live deals (M&A, IPOs).<br>• Manage associates and analysts to execute the deal.<br>• Lead key diligence sessions and client communications.<br>• Begin to develop their own client network.","• 3-4+ years as an Associate.<br>• Strong leadership, project management, and client relationship skills."
Investment Banking,Investment Banking Director (SVP),"A senior banker focused almost entirely on client relationship management and winning new business (""origination"").",• Manage senior-level client relationships.<br>• Identify and pitch new deal ideas to prospective clients.<br>• Lead negotiations and provide strategic advice to CEOs/CFOs.,"• Proven track record as a VP.<br>• Expert negotiation, strategic, and ""rainmaking"" (sales) skills."
Investment Banking,Managing Director (MD),"The highest rank. A senior partner responsible for generating millions in revenue by originating deals, managing key client relationships, and running the business group.",• Serve as the lead relationship manager for the firm's biggest clients.<br>• Generate significant revenue by winning major M&A or capital-raising deals.<br>• Manage the P&L for their industry or product group.<br>• Set strategy and recruit senior talent.,"• Elite track record as a Director.<br>• World-class reputation, network, and deal-generation skills."
Investment Banking,M&A Analyst/Associate,"An investment banker who works in the Mergers & Acquisitions ""product group,"" specializing only in advising companies on buying or selling.",• Build complex merger models (accretion/dilution analysis).<br>• Manage the M&A process data room and diligence requests.<br>• Analyze strategic alternatives for clients.,"• All the skills of an IB Analyst, plus specialized M&A modeling expertise."
Investment Banking,Equity Capital Markets (ECM) Banker,"A ""product group"" specialist who advises companies on raising money by selling stock (e.g., an IPO, Follow-On Offering).","• Advise clients on the optimal timing and structure of equity offerings.<br>• Manage the IPO execution process (drafting prospectus, roadshow).<br>• Act as the liaison between the client and the bank's sales & trading desk.","• Expertise in equity valuation, market dynamics, and SEC regulations for IPOs."
Investment Banking,Debt Capital Markets (DCM) Banker,"A ""product group"" specialist who advises companies and governments on raising money by issuing bonds (debt).","• Analyze a company's debt profile and credit rating.<br>• Advise on the optimal timing and structure of a bond issuance.<br>• Manage the execution, pricing, and sale of bonds to the market.","• Deep knowledge of fixed-income markets, credit ratings, and debt structuring."
Investment Banking,Leveraged Finance (LevFin) Banker,"A high-yield specialist who arranges debt (junk bonds, leveraged loans) for companies with low credit ratings, often to fund LBOs by Private Equity firms.",• Model complex debt scenarios for LBOs.<br>• Structure and market high-yield debt to institutional investors.<br>• Work very closely with Private Equity clients and credit funds.,"• Expert-level credit analysis, LBO modeling, and debt market knowledge."
Investment Banking,Equity Research Associate,"Supports a Senior Analyst in covering a ""universe"" of public stocks in a specific industry (e.g., software). They write research reports and build models.","• Build and maintain financial models for a list of covered stocks.<br>• Write research reports with ""Buy/Sell/Hold"" recommendations.<br>• Listen to earnings calls and gather industry data.",• Bachelor's in Finance/Accounting.<br>• CFA (or progress) is required.<br>• Strong modeling and writing skills.
Investment Banking,Equity Research Analyst (Senior),"The senior, client-facing analyst who publishes research under their own name and serves as an expert for institutional investors (e.g., mutual funds).",• Lead an industry coverage team (associates).<br>• Formulate investment theses and make official stock recommendations.<br>• Build relationships with institutional clients and company management teams.,• MBA or CFA.<br>• 7-10+ years of research experience and a stellar reputation/track record.
Investment Banking,Sales & Trading Analyst (Sales),"A junior role on the ""sell side"" sales desk. Supports senior salespeople who call on institutional clients (hedge funds, mutual funds) to pitch ideas and take orders.","• Support senior sales staff with research, data, and client requests.<br>• Prepare morning update summaries for clients.<br>• Learn market dynamics and build client relationships.","• Bachelor's degree.<br>• Must pass SIE, Series 7, and 63.<br>• Strong communication and sales skills."
Investment Banking,Sales & Trading Analyst (Trading),"A junior role on a trading desk (e.g., equities, bonds, derivatives) who assists senior traders in executing trades and managing the desk's ""book"" (risk).",• Execute client trades under the supervision of a senior trader.<br>• Analyze market data and P&L for the trading desk.<br>• Develop pricing models for specific financial products.,"• Bachelor's (often in Math, Econ, or Engineering).<br>• Must pass SIE, Series 7, and 63.<br>• Highly quantitative, analytical, and risk-tolerant."
Risk Management,Credit Risk Analyst,An internal risk role that analyzes the bank's overall lending portfolio (not just one loan) to measure risk and ensure diversification.,"• Analyze the overall credit risk of the bank's entire loan portfolio.<br>• Perform stress tests on the portfolio (e.g., ""what if a recession hits?"").<br>• Set industry concentration limits and risk appetite for the bank.",• Bachelor's in Finance/Stats.<br>• Strong quantitative modeling and data analysis skills.
Risk Management,Market Risk Analyst,"Monitors the bank's risk exposure from its own trading desks (S&T), measuring potential losses from moves in interest rates, stock prices, or currencies.","• Monitor and calculate the bank's risk metrics (e.g., Value-at-Risk or ""VaR"").<br>• Ensure trading desks stay within their approved risk limits.<br>• Report risk exposures directly to senior management and regulators.","• Master's in Financial Engineering or Quantitative Finance.<br>• Highly advanced math, stats, and programming skills (Python/R)."
Risk Management,Operational Risk Manager,"Identifies and mitigates risks related to internal failures—bad processes, human error, failed systems, or external events (e.g., fraud, natural disasters).",• Map internal business processes to identify potential failure points.<br>• Develop and implement internal controls to prevent fraud or errors.<br>• Manage business continuity and disaster recovery plans.,"• Bachelor's in Business/Finance.<br>• Strong analytical, process-mapping, and auditing skills."
Risk Management,Liquidity Risk Manager,"Manages the risk that the bank will not have enough cash on hand to meet its short-term obligations (e.g., a ""run on the bank"").","• Model the bank's daily, weekly, and monthly cash flow needs.<br>• Conduct stress tests on funding sources.<br>• Manage the bank's portfolio of highly liquid assets.",• Bachelor's/Master's in Finance.<br>• Strong cash flow modeling and treasury management skills.
Compliance,AML (Anti-Money Laundering) Analyst,An investigative analyst who monitors customer transactions for suspicious activity to prevent money laundering and terrorist financing.,• Investigate automated alerts for potentially suspicious transactions.<br>• Conduct deep due diligence on high-risk accounts.<br>• Write and file Suspicious Activity Reports (SARs) with the government (FinCEN).,"• Bachelor's degree (Criminal Justice or Finance).<br>• Strong investigative, analytical, and writing skills.<br>• CAMS certification is a plus."
Compliance,KYC (Know Your Customer) Analyst,An onboarding compliance role responsible for performing due diligence on new clients before they open an account to verify their identity and assess their risk.,• Verify the identity of new individual and corporate clients.<br>• Perform Enhanced Due Diligence (EDD) on high-risk clients.<br>• Ensure all new client documentation meets legal requirements.,"• Bachelor's degree.<br>• High attention to detail, research skills, and knowledge of the Bank Secrecy Act (BSA)."
Compliance,Compliance Officer,"A mid-to-senior level professional who advises the business on adhering to all banking laws and regulations, interprets new rules, and manages regulatory exams.","• Act as the subject matter expert on banking regulations (e.g., Reg W, Reg O).<br>• Conduct compliance testing and monitoring of business activities.<br>• Manage formal examinations by regulators (Fed, OCC, FDIC).<br>• Develop and deliver compliance training to employees.",• Bachelor's/JD.<br>• CRCM (Certified Regulatory Compliance Manager) certification is standard.
Internal Audit,Bank Auditor (Internal),"An internal employee who independently tests the bank's own internal controls, processes, and risk management functions to ensure they are working properly.","• Perform audits of various bank departments (e.g., lending, operations).<br>• Test financial, operational, and compliance controls.<br>• Write audit reports identifying control weaknesses and recommendations.<br>• Report findings directly to the Board's Audit Committee.","• Bachelor's in Accounting/Finance.<br>• CPA, CIA (Certified Internal Auditor), or CFSA (Certified Financial Services Auditor) required."
Internal Audit,IT Auditor (Internal),"A specialized internal auditor who focuses only on testing the bank's technology systems, cybersecurity defenses, and IT infrastructure.","• Audit IT general controls (e.g., user access, change management).<br>• Perform cybersecurity and vulnerability assessments.<br>• Ensure IT systems are compliant with regulations (e.g., data privacy).",• Bachelor's in Info Systems.<br>• CISA (Certified Information Systems Auditor) certification is required.
Bank Operations,Loan Processor,"An administrative role that supports loan officers by gathering, verifying, and assembling all the documents needed to submit a loan file to underwriting.","• Collect all required documentation from borrowers.<br>• Verify income, employment, and assets.<br>• Order appraisals, title reports, and flood certifications.<br>• Package the complete loan file for the underwriter.","• High school diploma.<br>• Exceptional organization, detail, and communication skills."
Bank Operations,Loan Servicing Specialist,"A ""post-closing"" operations role that manages a loan after it has closed, handling payments, taxes, and customer service inquiries.","• Process customer loan payments and manage escrow accounts (for taxes/insurance).<br>• Handle payoffs, subordinations, and lien releases.<br>• Answer customer inquiries about their loan balance or payments.","• High school diploma.<br>• Strong bookkeeping, data entry, and customer service skills."
Bank Operations,Fraud Analyst,"A back-office investigator who monitors customer accounts and transactions in real-time to identify and stop fraudulent activity (e.g., stolen debit cards, check fraud).",• Review real-time transaction alerts for potential fraud.<br>• Contact customers to verify suspicious activity.<br>• Place holds on accounts or cards to prevent losses.<br>• Investigate and document fraud cases for law enforcement.,"• Associate's/Bachelor's degree.<br>• Strong investigative, analytical, and quick decision-making skills."
Bank Operations,Wire Transfer Specialist,A high-risk operational role responsible for accurately and securely processing high-value domestic and international wire transfers.,"• Process incoming and outgoing wire transfer requests.<br>• Verify client identity and perform security callbacks.<br>• Ensure compliance with AML and OFAC (sanctions) screening.<br>• Manually key and verify transfer details (routing, SWIFT codes).",• High school diploma.<br>• Extreme attention to detail and ability to work under pressure.
Bank Operations,Bank Operations Manager,"Manages all ""back office"" departments that support the bank, such as loan servicing, deposit operations (ACH/Wire), and fraud prevention.","• Lead and manage multiple operational teams.<br>• Develop and optimize operational workflows for efficiency.<br>• Ensure operational compliance with all banking regulations.<br>• Manage vendor relationships (e.g., core processing software).",• Bachelor's degree.<br>• 7-10+ years in bank operations.<br>• AAP (Accredited ACH Professional) cert is a plus.
Bank Technology,FinTech Developer,"A software engineer who builds and maintains the bank's technology, from customer-facing mobile apps to internal trading or risk platforms.","• Design, code, and test new applications (e.g., mobile banking features).<br>• Maintain and integrate legacy banking systems.<br>• Work with core processing systems and APIs.","• BS in Computer Science.<br>• Proficiency in Java, Python, C#, and modern web/mobile frameworks."
Bank Technology,Financial Systems Analyst,"The bridge between the Finance/Accounting department and the IT department. Manages the bank's core financial software (e.g., the general ledger, risk systems).",• Configure and maintain financial reporting and risk software.<br>• Write custom reports for finance and accounting users.<br>• Troubleshoot system errors and manage software upgrades.,• Bachelor's in Finance or Info Systems.<br>• Strong understanding of both accounting principles and IT systems.
Bank Technology,Core Processing Specialist,"A technical expert on the bank's ""core"" system (e.g., Fiserv, FIS, Jack Henry)—the central computer system that holds all customer accounts and ledgers.","• Manage the daily processing and nightly batch jobs for the core system.<br>• Troubleshoot core system errors and outages.<br>• Manage updates, new feature implementation, and system parameters.",• Associate's/Bachelor's in IT.<br>• Specific certification/training on a core banking platform.
Bank Technology,Bank Cybersecurity Analyst,An IT professional focused exclusively on defending the bank's data and systems from cyber threats.,"• Monitor the bank's network for intrusions using SIEM tools.<br>• Conduct vulnerability assessments and penetration testing.<br>• Respond to and investigate security incidents.<br>• Implement security protocols (firewalls, data encryption).","• BS in Cybersecurity.<br>• CompTIA Security+, CISSP certifications.<br>• Deep knowledge of network security."
Asset Management,Mutual Fund Accountant,"A specialized accountant (often at a ""custodian bank"" like State Street or BNY Mellon) who calculates the daily Net Asset Value (NAV) of a mutual fund.","• Process all fund portfolio transactions (buys, sells, dividends).<br>• Reconcile cash and asset positions with the broker.<br>• Calculate the daily NAV (price per share) for the fund.",• Bachelor's in Accounting/Finance.<br>• Strong detail-orientation and ability to work on a strict daily deadline.
Asset Management,Fund Manager (Portfolio Manager),"An investment professional (at a bank's Asset Management division) who manages a mutual fund or ETF, making all buy/sell decisions for the fund's investors.",• Conduct macroeconomic and company research.<br>• Make all final investment decisions for the fund's portfolio.<br>• Market the fund to investors and consultants.<br>• Adhere to the fund's stated investment prospectus.,"• MBA and/or CFA designation.<br>• A proven, long-term track record of investment performance."
Retail Banking,Notary Public (Banker),A Personal Banker or Manager who holds a state commission as a Notary Public to witness and certify signatures on legal documents for bank customers.,"• Witness the signing of legal documents (e.g., deeds, power of attorney).<br>• Verify the identity of all signers.<br>• Administer oaths and affirmations.<br>• Record all notarial acts in a logbook as required by law.",• Must meet state requirements and pass an exam to receive a Notary commission.
Bank Marketing,Bank Marketing Manager,"A marketing professional who develops campaigns and materials (digital and print) to promote the bank's brand and specific products (e.g., new checking accounts).","• Develop marketing campaigns for loans, deposits, and wealth services.<br>• Manage the bank's social media, website, and digital ad spending.<br>• Ensure all marketing materials are compliant with bank regulations.",• Bachelor's in Marketing.<br>• Strong knowledge of digital marketing and financial services compliance.
Commercial Banking,Factoring/ABL Analyst,"Specializes in Asset-Based Lending (ABL), where loans are secured by a company's accounts receivable or inventory, requiring daily monitoring.","• Monitor daily ""borrowing base"" certificates from clients.<br>• Analyze A/R aging reports and inventory listings.<br>• Perform field exams (on-site audits) of client collateral.",• Bachelor's in Accounting/Finance.<br>• High attention to detail; specific training in secured lending.
Risk Management,Model Risk Manager,"A highly quantitative role responsible for validating the mathematical models the bank uses for things like credit risk, market risk, and pricing derivatives.","• Independently test and validate the bank's financial models.<br>• Assess model accuracy, assumptions, and limitations.<br>• Report findings and necessary model corrections to senior management.","• PhD or Master's in a quantitative field (Math, Stats, Physics).<br>• Elite programming (Python/R) and mathematical modeling skills."
Commercial Banking,Agri-Business Banker (Ag Lender),A specialized commercial lender who works exclusively with farmers and agricultural businesses.,"• Originate loans for farmland, livestock, equipment, and crop operations.<br>• Analyze farm-specific cash flows, commodity prices, and government subsidies.<br>• Understand the unique risks and cycles of the agriculture industry.",• Bachelor's in Agri-Business or Finance.<br>• Strong background in or knowledge of the agriculture industry.
Bank Leadership,Chief Lending Officer (CLO),"The senior executive responsible for the bank's entire lending portfolio (both commercial and retail), lending strategy, and credit risk appetite.","• Manage all senior lending officers (commercial, retail, mortgage).<br>• Set the bank's overall credit policy and risk strategy.<br>• Chair the bank's loan committee for approving the largest loans.<br>• Report on portfolio health to the CEO and Board.",• MBA in Finance.<br>• 15-20+ years of senior credit and lending experience.
Bank Leadership,Chief Risk Officer (CRO),"The executive responsible for identifying and managing all major risks across the entire enterprise (credit, market, operational, liquidity, and compliance).",• Lead all risk management departments.<br>• Develop the bank's enterprise risk management (ERM) framework.<br>• Report directly to the Board of Directors on all major risk exposures.,• Advanced degree (MBA/Finance/Quant).<br>• Extensive experience across multiple risk disciplines.
Bank Leadership,Bank CEO (Chief Executive Officer),"The highest-ranking executive, responsible for the bank's overall strategy, profitability, and vision. Reports directly to the Board of Directors.","• Set the overall strategic direction and vision for the bank.<br>• Manage the entire senior executive team (CFO, CLO, CRO, COO).<br>• Act as the primary public face of the bank to investors, regulators, and the community.<br>• Drive shareholder value and long-term profitability.",• Advanced degree (MBA).<br>• Decades of progressive leadership experience in banking.
Bank Operations,ACH Specialist,"An operations expert on the Automated Clearing House (ACH) network, processing direct deposits, payroll files, and pre-authorized debits.","• Process daily incoming and outgoing ACH batch files.<br>• Handle ACH returns, disputes, and exceptions.<br>• Ensure strict compliance with all Nacha operating rules.<br>• Originate ACH files for commercial clients.",• High school diploma.<br>• AAP (Accredited ACH Professional) certification is highly valued.
Wealth Management,Securities Trader (Wealth),"An execution-only trader working within a private bank or wealth division to execute buy/sell orders (stocks, bonds) placed by Financial Advisors.","• Execute large block trades for multiple client accounts simultaneously.<br>• Find the best market price (""best execution"") for client orders.<br>• Monitor market activity and communicate with advisors.",• Bachelor's degree.<br>• Must hold Series 7 and 63 licenses.<br>• Ability to work calmly in fast-paced market conditions.
Investment Banking,Restructuring Banker,"A specialist investment banker (often called ""RX"") who advises companies that are in deep financial distress or bankruptcy.","• Advise distressed companies or their creditors on chapter 11 bankruptcy.<br>• Model complex ""waterfall"" scenarios and recovery analysis.<br>• Negotiate with creditors to restructure the company's debt.<br>• Arrange DIP (Debtor-in-Possession) financing.",• All IB Analyst/Associate skills.<br>• Expertise in bankruptcy law and complex credit analysis.
Risk Management,Bank Secrecy Act (BSA) Officer,The individual formally designated and responsible for the bank's entire anti-money laundering (AML) and BSA compliance program.,"• Develop and manage the bank's overall BSA/AML policies.<br>• Oversee the AML/KYC analyst teams.<br>• Ensure all regulatory reporting (SARs, CTRs) is filed correctly.<br>• Act as the main contact for regulators on all BSA matters.",• Bachelor's/Master's/JD.<br>• CAMS certification required.<br>• 7-10+ years in AML/BSA compliance.
Commercial Banking,Trade Finance Specialist,"Facilitates international trade for commercial clients by issuing letters of credit, handling documentary collections, and managing trade loans.",• Issue and advise on Letters of Credit (L/Cs) for importers/exporters.<br>• Examine trade documents to ensure strict compliance with L/C terms.<br>• Manage import/export financing and open account transactions.,• Bachelor's degree.<br>• CDCS (Certified Documentary Credit Specialist) cert. is a plus.<br>• Deep knowledge of UCP 600 rules.
Investment Banking,"Quantitative Analyst (""Quant"")","Designs and implements complex mathematical models that are used to price securities, assess risk, or execute algorithmic trading strategies.",• Develop mathematical models for pricing complex derivatives.<br>• Create algorithms for high-frequency trading.<br>• Use statistical analysis to back-test trading strategies.,"• PhD or Master's in a highly quantitative field (Math, Physics, Stats).<br>• Elite programming (C++, Python) and mathematical skills."
Corporate Banking,Corporate Banker,"Manages relationships with very large corporations (Fortune 500), coordinating all bank products including loans, capital markets, and treasury services.","• Act as the senior relationship manager for large corporate clients.<br>• Coordinate with product partners (IB, Treasury) to deliver bank solutions.<br>• Originate massive, complex syndicated loans.",• MBA in Finance.<br>• 10+ years experience.<br>• Strong credit skills and ability to manage complex relationships.
Compliance,Fair Lending Analyst,"A compliance specialist who analyzes bank lending data to ensure the bank is not discriminating against applicants based on race, gender, or other protected classes.",• Use statistical analysis to review loan application data (approvals/denials).<br>• Test for disparities in underwriting and pricing.<br>• Ensure compliance with the Fair Housing Act and Equal Credit Opportunity Act (ECOA).,• Bachelor's in Finance/Stats.<br>• Strong data analysis skills and knowledge of fair lending laws.
Compliance,Community Reinvestment Act (CRA) Officer,"Manages the bank's compliance with the Community Reinvestment Act, ensuring the bank meets the credit needs of its entire community, including low-income areas.","• Track and document all lending, investment, and services in LMI census tracts.<br>• Manage community development donations and initiatives.<br>• Prepare for and manage the bank's CRA regulatory exam.",• Bachelor's degree.<br>• Strong community relations and data analysis skills.
Risk Management,Chief Credit Officer,"A senior executive, often reporting to the CRO or CLO, who sets the bank's credit policies and manages the entire credit underwriting and approval function.",• Develop and maintain the bank's formal credit policy.<br>• Manage all underwriting teams and Credit Analysts.<br>• Chair loan committees and hold the highest level of credit approval authority.,• Bachelor's/MBA.<br>• 20+ years of expert-level credit and underwriting experience.
Retail Banking,Universal Banker,A hybrid branch role that combines the duties of both a Teller (transactions) and a Personal Banker (sales and account opening).,"• Perform all teller duties (processing transactions).<br>• Perform all personal banker duties (opening accounts, taking loan apps).<br>• Handle all customer needs from start to finish.","• High school diploma/Bachelor's.<br>• Strong skills in both customer service, cash handling, and sales."
Investment Banking,Prime Brokerage Associate,"Works in a specialized group that provides a bundle of services to hedge fund clients (e.g., lending them cash/securities, trade execution, and custody).",• Act as the relationship manager for hedge fund clients.<br>• Facilitate leverage (margin lending) for the fund.<br>• Coordinate trade settlement and cash management for the fund.,"• Bachelor's/MBA.<br>• Deep knowledge of hedge fund operations, risk, and derivatives."
